,이름,PIP,이름,LSO,이름,Go/Fo,이름,Qs%,득점지원,이름,구원방어율,Rel%,WPA
144,,,,,,,지명성,,0.00,조영건,0.00,100.0,0.00
145,,,,,,,전유수,,0.00,서준원,6.26,38.9,0.30
146,,,,,,,박선우,,0.00,김민수,0.00,,0.00
147,,,,,,,노시훈,,0.00,김진수,3.86,0.0,-0.04
148,,,,,,,배성근,,0.00,오윤석,0.00,0.0,0.00
149,,,,,,,김주온,,0.00,박진태,5.95,70.6,-1.09
150,,,,,,,이재익,,0.00,문성현,5.40,100.0,-0.00
151,,,,,,,정동윤,,0.00,강태율,0.00,100.0,0.00
152,,,,,,,정진호,,0.00,최정용,0.00,100.0,-0.00
153,,,,,,,이우석,,0.00,안인산,5.40,50.0,-0.08
154,,,,,,,박승주,,0.00,양현,4.69,39.1,-0.52
155,,,,,,,문동욱,,0.00,강동호,6.75,,0.00
156,,,,,,,김태훈,,0.00,류원석,6.00,0.0,0.04
157,,,,,,,최세창,,0.00,문대원,6.75,50.0,0.00
158,,,,,,,김건태,,0.00,조제영,6.75,66.7,-0.05
159,,,,,,,김현준,,0.00,윤산흠,6.00,100.0,-0.06
160,,,,,,,박웅,,0.00,오동욱,5.40,26.3,-0.33
161,,,,,,,윤성빈,,0.00,김건국,6.55,0.0,0.09
162,,,,,,,고효준,,0.00,배민서,5.55,16.7,0.24
163,,,,,,,추재현,,0.00,배재준,5.79,57.1,-0.34
164,,,,,,,김도윤,,0.00,손정욱,6.57,64.3,-0.46
165,,,,,,,조영건,,0.00,신민혁,7.50,0.0,-0.03
166,,,,,,,김민수,,0.00,황윤호,0.00,100.0,0.00
167,,,,,,,김진수,,0.00,김강민,13.50,,0.00
168,,,,,,,오윤석,,0.00,정영일,9.00,,-0.00
169,,,,,,,박진태,,0.00,손주영,9.00,,-0.00
170,,,,,,,문성현,,0.00,오석주,6.48,75.0,-0.05
171,,,,,,,강태율,,0.00,홍민기,27.00,,-0.01
172,,,,,,,최정용,,0.00,김동욱,9.00,,-0.00
173,,,,,,,안인산,,0.00,이형범,0.00,66.7,-0.55
174,,,,,,,양현,,0.00,노경은,7.94,75.0,-0.14
175,,,,,,,강동호,,0.00,이정현,10.13,0.0,0.00
176,,,,,,,류원석,,0.00,강동연,6.94,71.4,-0.64
177,,,,,,,문대원,,0.00,이민호,7.71,,-0.08
178,,,,,,,윤산흠,,0.00,박정수,7.94,80.0,-0.24
179,,,,,,,오동욱,,0.00,이찬혁,18.00,,0.00
180,,,,,,,김건국,,0.00,황영국,5.52,28.6,-0.60
181,,,,,,,손정욱,,0.00,최용준,18.00,,-0.03
182,,,,,,,황윤호,,0.00,나원탁,13.50,,0.00
183,,,,,,,김강민,,0.00,조요한,7.71,,-0.23
184,,,,,,,정영일,,0.00,임현준,6.55,29.2,-0.68
185,,,,,,,오석주,,0.00,이승헌,6.75,,-0.03
186,,,,,,,홍민기,,0.00,김현수,7.54,100.0,-0.08
187,,,,,,,김동욱,,0.00,유재유,10.80,60.0,-0.04
188,,,,,,,이형범,,0.00,변시원,27.00,100.0,-0.03
189,,,,,,,이찬혁,,0.00,서균,10.80,80.0,-0.19
190,,,,,,,황영국,,0.00,신지후,0.00,,-0.01
191,,,,,,,나원탁,,0.00,장민재,3.18,33.3,-0.12
192,,,,,,,조요한,,0.00,이상규,9.00,0.0,0.02
193,,,,,,,임현준,,0.00,정우준,9.53,0.0,-0.19
194,,,,,,,이승헌,,0.00,하준호,6.75,33.3,-0.20
195,,,,,,,유재유,,0.00,장시환,9.00,100.0,-0.06
196,,,,,,,변시원,,0.00,남호,10.13,0.0,-0.14
197,,,,,,,서균,,0.00,박세웅,9.00,100.0,-0.10
198,,,,,,,신지후,,0.00,오현택,6.61,50.0,-0.80
199,,,,,,,이상규,,0.00,고봉재,27.00,0.0,0.00
200,,,,,,,정우준,,0.00,강윤구,7.07,44.4,-0.63
201,,,,,,,하준호,,0.00,유원상,6.23,0.0,-0.08
202,,,,,,,남호,,0.00,김태형,27.00,0.0,0.01
203,,,,,,,박세웅,,0.00,강지광,36.00,,-0.00
204,,,,,,,오현택,,0.00,이용준,21.60,,-0.02
205,,,,,,,고봉재,,0.00,장웅정,9.82,0.0,-0.09
206,,,,,,,유원상,,0.00,강경학,54.00,,0.00
207,,,,,,,김태형,,0.00,이채호,7.20,50.0,-0.02
208,,,,,,,강지광,,0.00,최영환,7.30,25.0,-0.27
209,,,,,,,이용준,,0.00,김민규,5.94,11.1,-0.27
210,,,,,,,장웅정,,0.00,김세현,10.39,100.0,-0.05
211,,,,,,,강경학,,0.00,정성종,8.25,40.0,-0.10
212,,,,,,,이채호,,0.00,김동우,10.80,100.0,-0.02
213,,,,,,,김세현,,0.00,임규빈,10.39,100.0,0.00
214,,,,,,,정성종,,0.00,양창섭,6.60,0.0,-0.46
215,,,,,,,김동우,,0.00,최동환,9.53,0.0,0.01
216,,,,,,,임규빈,,0.00,장재영,7.04,0.0,-0.61
