,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
296,노경은,21롯,14,0,0,11,3,5,0,0,56.1,50,46,269,79,16,1,11,24,0,4,35,0,3,7.35,6.12,1.83,61.8,73.1,-0.80,-1.90,1984-03-11,20081
126,노성호,21삼,16,0,0,0,0,2,0,1,19.0,10,10,82,10,1,0,2,14,0,1,19,0,2,4.74,5.07,1.26,95.3,88.9,0.21,-0.57,1989-10-22,20082
150,노시훈,21N,5,0,0,0,0,0,0,0,4.2,2,2,22,4,1,0,1,4,0,0,2,0,0,3.86,7.83,1.71,117.7,57.9,0.08,-0.03,1998-08-04,20083
97,다카하시,21K,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4,0,4,12,0,4,46,0,4,4.91,3.55,1.58,90.6,125.6,0.37,-0.32,1997-01-23,20084
12,데스파이네,21K,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4.00,0.79,1987-04-04,20085
80,라이블리,21삼,7,0,0,7,0,1,0,0,33.1,16,15,140,23,6,0,4,13,0,5,38,0,0,4.05,4.23,1.08,111.5,107.0,0.66,0.33,1992-03-05,20086
10,로켓,21두,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,3.33,1.40,144.9,130.9,4.12,1.00,1994-05-03,20087
7,루친스키,21N,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,3.32,1.20,143.1,135.9,4.50,1.88,1988-12-30,20088
185,류원석,21L,6,0,0,0,0,0,0,0,6.0,4,4,28,1,1,0,0,9,0,1,8,0,0,6.00,5.67,1.67,71.9,78.0,0.00,0.04,1989-11-18,20089
62,류진욱,21N,44,0,0,0,1,0,1,7,43.1,15,10,190,40,6,1,2,22,0,0,31,0,4,2.08,4.03,1.43,218.6,111.9,1.15,0.55,1996-10-10,20090
104,르위키,21S,4,0,0,4,1,0,0,0,14.1,6,6,56,15,3,0,2,2,0,0,9,0,0,3.77,4.31,1.19,119.1,105.7,0.32,0.17,1992-04-08,20091
19,멩덴,21K,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,3.60,3.97,1.20,123.5,111.9,3.10,0.51,1993-02-19,20092
125,몽고메리,21삼,11,0,0,11,2,5,0,0,52.0,33,31,244,46,5,1,3,38,0,4,55,0,4,5.37,4.39,1.62,84.1,102.0,0.21,-0.71,1989-07-01,20093
