,날짜,best,best_birth,worst,worst_birth
3,09-15,최형우,1983-12-16,송재영,2002-06-20
4,09-15,신민혁,1999-02-04,정찬헌,1990-01-26
5,09-15,전준우,1986-02-25,김현수,2000-07-10
0,09-14,신본기,1989-03-21,박계범,1996-01-11
1,09-14,노시환,2000-12-03,최민준,1999-06-11
2,09-14,구자욱,1993-02-12,김헌곤,1988-11-09
3,09-14,한동희,1999-06-01,멩덴,1993-02-19
4,09-14,이용규,1985-08-26,김동혁,2001-12-27
0,09-14,신본기,1989-03-21,박계범,1996-01-11
1,09-14,노시환,2000-12-03,최민준,1999-06-11
2,09-14,구자욱,1993-02-12,김헌곤,1988-11-09
3,09-14,한동희,1999-06-01,멩덴,1993-02-19
4,09-14,이용규,1985-08-26,김동혁,2001-12-27
0,09-12,이영하,1997-11-01,손주영,1998-12-02
1,09-12,고영표,1991-09-16,김태훈,1990-05-19
2,09-12,김기탁,1998-09-30,주현상,1992-08-10
3,09-12,루친스키,1988-12-30,박준표,1992-06-26
4,09-12,김선기,1991-09-01,서준원,2000-11-05
5,09-12,김재환,1988-09-22,이정용,1997-03-26
6,09-12,소형준,2001-09-16,주권,1995-05-31
7,09-12,이원석,1986-10-21,강재민,1997-04-03
8,09-12,김영규,2000-02-10,홍상삼,1990-02-13
9,09-12,이대호,1982-06-21,김재웅,1998-10-22
0,09-11,서건창,1989-08-22,김윤식,2000-04-03
1,09-11,김택형,1996-10-10,김재윤,1990-09-16
2,09-11,오재일,1986-10-29,정우람,1985-06-01
3,09-11,이창진,1991-03-04,이재학,1990-10-04
4,09-11,이정후,1998-08-20,스트레일리,1988-12-01
0,09-10,이민호,2001-08-30,유강남,1992-07-15
1,09-10,김태훈,1992-03-02,김태진,1995-10-07
2,09-10,이대은,1989-03-23,박해민,1990-02-24
3,09-10,박세웅,1995-11-30,폰트,1990-05-24
4,09-10,로켓,1994-05-03,송명기,2000-08-09
0,09-09,보어,1988-05-28,카펜터,1990-08-22
1,09-09,박병호,1986-07-10,장현식,1995-02-24
2,09-09,오재일,1986-10-29,김재윤,1990-09-16
3,09-09,김강민,1982-09-13,강윤구,1990-07-10
4,09-09,김재환,1988-09-22,신민혁,1999-02-04
0,09-08,미란다,1989-01-10,김동혁,2001-12-27
1,09-08,한유섬,1989-08-09,이형종,1989-06-07
2,09-08,장현식,1995-02-24,멩덴,1993-02-19
3,09-08,이대호,1982-06-21,이인복,1991-06-18
4,09-08,킹엄,1991-11-08,강태경,2001-07-26
0,09-07,한동희,1999-06-01,피렐라,1989-11-21
1,09-07,김주원,2002-07-30,장시환,1987-11-01
0,09-07,한동희,1999-06-01,피렐라,1989-11-21
1,09-07,김주원,2002-07-30,장시환,1987-11-01
0,09-05,배제성,1996-09-29,김윤식,2000-04-03
1,09-05,허정협,1990-02-17,김태훈,1990-05-19
2,09-05,황대인,1996-02-10,박진태,1994-10-19
3,09-05,양석환,1991-07-15,백정현,1987-07-13
4,09-05,류진욱,1996-10-10,스트레일리,1988-12-01
0,09-04,호잉,1989-05-18,손주영,1998-12-02
1,09-04,최원태,1997-01-07,오원석,2001-04-23
2,09-04,최재훈,1989-08-27,홍상삼,1990-02-13
3,09-04,몽고메리,1989-07-01,곽빈,1999-05-28
4,09-04,박세웅,1995-11-30,이재학,1990-10-04
0,09-03,나성범,1989-10-03,정우영,1999-08-19
1,09-03,쿠에바스,1990-10-14,크레익,1994-11-16
2,09-03,폰트,1990-05-24,박세혁,1990-01-09
3,09-03,최채흥,1995-01-22,김현수,2000-07-10
4,09-03,서준원,2000-11-05,손아섭,1988-03-18
5,09-03,정훈,1987-07-18,카펜터,1990-08-22
0,09-02,이민호,2001-08-30,신민혁,1999-02-04
1,09-02,데스파이네,1987-04-04,김웅빈,1996-02-09
2,09-02,가빌리오,1990-05-22,최원준,1994-12-21
3,09-02,원태인,2000-04-06,박찬호,1995-06-05
0,09-01,최원준,1997-03-23,김명신,1993-11-29
1,09-01,고종욱,1989-01-11,최민준,1999-06-11
2,09-01,유한준,1981-07-01,장시환,1987-11-01
3,09-01,뷰캐넌,1989-05-11,김동혁,2001-12-27
4,09-01,미란다,1989-01-10,김인태,1994-07-03
5,09-01,루친스키,1988-12-30,이태양,1990-07-03
0,08-31,김기중,2002-11-16,소형준,2001-09-16
1,08-31,백정현,1987-07-13,김혜성,1999-01-27
2,08-31,김현수,1988-01-12,최영환,1992-02-20
0,08-31,김기중,2002-11-16,소형준,2001-09-16
1,08-31,백정현,1987-07-13,김혜성,1999-01-27
2,08-31,김현수,1988-01-12,최영환,1992-02-20
0,08-29,문보경,2000-07-19,최원태,1997-01-07
1,08-29,한유섬,1989-08-09,김현수,2000-07-10
2,08-29,황재균,1987-07-28,몽고메리,1989-07-01
3,08-29,하주석,1994-02-25,강진성,1993-10-19
4,08-29,추재현,1999-02-22,홍건희,1992-09-29
0,08-28,이형종,1989-06-07,요키시,1989-07-29
1,08-28,고종욱,1989-01-11,임기영,1993-04-16
2,08-28,심우준,1995-04-28,박시영,1989-03-10
3,08-28,킹엄,1991-11-08,알테어,1991-01-14
4,08-28,손아섭,1988-03-18,프랑코,1992-12-29
0,08-27,이민호,2001-08-30,장필준,1988-04-08
1,08-27,카펜터,1990-08-22,정우람,1985-06-01
2,08-27,허도환,1984-07-31,장지훈,1998-12-06
3,08-27,박준영,1997-08-05,로켓,1994-05-03
0,08-26,오지환,1990-03-12,피렐라,1989-11-21
1,08-26,변상권,1997-04-04,장재영,2002-05-10
2,08-26,황재균,1987-07-28,이태양,1990-07-03
3,08-26,황대인,1996-02-10,최원준,1997-03-23
4,08-26,김재환,1988-09-22,이용찬,1989-01-02
5,08-26,미란다,1989-01-10,강진성,1993-10-19
0,08-25,김현수,1988-01-12,고우석,1998-08-06
1,08-25,장운호,1994-02-20,이승호,1999-02-08
2,08-25,소형준,2001-09-16,최민준,1999-06-11
3,08-25,전준우,1986-02-25,최영환,1992-02-20
0,08-24,박동원,1990-04-07,김현수,2000-07-10
1,08-24,박계범,1996-01-11,김이환,2000-09-15
2,08-24,김지찬,2001-03-08,서진용,1992-10-02
0,08-23,박세웅,1995-11-30,데스파이네,1987-04-04
0,08-22,김태연,1997-06-10,이영하,1997-11-01
1,08-22,오재일,1986-10-29,최채흥,1995-01-22
2,08-22,송성문,1996-08-29,이준영,1992-08-10
3,08-22,고영표,1991-09-16,황재균,1987-07-28
4,08-22,양의지,1987-06-05,켈리,1989-10-04
0,08-21,카펜터,1990-08-22,강재민,1997-04-03
0,08-20,미란다,1989-01-10,장시환,1987-11-01
1,08-20,피렐라,1989-11-21,로맥,1985-09-30
2,08-20,정찬헌,1990-01-26,김성민,1994-04-26
3,08-20,한동희,1999-06-01,이호연,1995-06-03
4,08-20,나성범,1989-10-03,김재성,1996-10-30
0,08-19,페르난데스,1988-04-27,강승호,1994-02-09
1,08-19,최정,1987-02-28,가빌리오,1990-05-22
2,08-19,임찬규,1992-11-20,김재윤,1990-09-16
3,08-19,강한울,1991-09-12,김기중,2002-11-16
0,08-18,김선빈,1989-12-18,곽빈,1999-05-28
1,08-18,한유섬,1989-08-09,박준영,1997-08-05
2,08-18,데스파이네,1987-04-04,이민호,2001-08-30
3,08-18,백정현,1987-07-13,김민우,1995-07-25
4,08-18,최영환,1992-02-20,박동원,1990-04-07
0,08-17,호잉,1989-05-18,고우석,1998-08-06
1,08-17,이학주,1990-11-04,강민호,1985-08-18
2,08-17,프랑코,1992-12-29,박동원,1990-04-07
0,08-17,호잉,1989-05-18,고우석,1998-08-06
1,08-17,이학주,1990-11-04,강민호,1985-08-18
2,08-17,프랑코,1992-12-29,박동원,1990-04-07
